"SEMEL_YISHUV","year","loc","locality","lat","long","distance","semel_map","treated","temporal_distance","number_of_red_alerts","temporal_group","turnover_percentage","post","year_election","X","SHEM_YISHUV","SHEM_YISHUV_ENGLISH","Religion_yishuv_Code","Religion_yishuv_Txt","Pop_Total","Male_Total","Female_Total","age_0_14","age_15_19","age_20_29","age_30_64","age_65_up","Shape_Area","density","age_65_up_percentage","ntl"
66,2022,"מרחביהקיבוץ","מרחביה (קיבוץ)",32.6058495,35.30725,135.530167595351,66,1,6,1,"temporal_distance == 6",0.690526315789474,TRUE,2022,518,"מרחביה (קיבוץ)","MERHAVYA(QIBBUZ)",1,"יהודי",1331,639,692,344,116,150,528,192,0.463263524519468,2873.09474964733,0.144252441773103,NA
72,2009,"גןשמואל","גן שמואל",32.454062,34.95038,104.12724532114,72,0,NA,NA,"no_red_alert",0.741463414634146,FALSE,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,2013,"גןשמואל","גן שמואל",32.454062,34.95038,104.12724532114,72,0,NA,NA,"no_red_alert",0.762246117084827,FALSE,2013,584,"גן שמואל","GAN SHEMU'EL",1,"יהודי",860,410,440,190,40,110,350,160,0.647847112775246,1327.473694088,0.186046511627907,63
72,2015,"גןשמואל","גן שמואל",32.454062,34.95038,104.12724532114,72,0,NA,NA,"no_red_alert",0.7903981264637,TRUE,2015,583,"גן שמואל","GAN SHEMU'EL",1,"יהודי",870,420,460,200,40,110,350,180,0.647847112775246,1342.90943471693,0.206896551724138,62
72,2019,"גןשמואל","גן שמואל",32.454062,34.95038,104.12724532114,72,0,NA,NA,"no_red_alert",0.771526980482204,TRUE,2019,588,"גן שמואל","GAN SHEMU'EL",1,"יהודי",933,449,484,232,45,88,367,200,0.647847112775246,1440.15460067919,0.214362272240086,NA
72,2019,"גןשמואל","גן שמואל",32.454062,34.95038,104.12724532114,72,0,NA,NA,"no_red_alert",0.781714285714286,TRUE,2019.4,588,"גן שמואל","GAN SHEMU'EL",1,"יהודי",933,449,484,232,45,88,367,200,0.647847112775246,1440.15460067919,0.214362272240086,NA
72,2020,"גןשמואל","גן שמואל",32.454062,34.95038,104.12724532114,72,0,NA,NA,"no_red_alert",0.773823191733639,TRUE,2020,592,"גן שמואל","GAN SHEMU'EL",1,"יהודי",943,456,488,237,48,81,381,196,0.647847112775246,1455.59034130812,0.207847295864263,NA
72,2021,"גןשמואל","גן שמואל",32.454062,34.95038,104.12724532114,72,0,NA,NA,"no_red_alert",0.778669724770642,TRUE,2021,582,"גן שמואל","GAN SHEMU'EL",1,"יהודי",948,455,492,243,52,80,374,198,0.647847112775246,1463.30821162259,0.208860759493671,NA
72,2022,"גןשמואל","גן שמואל",32.454062,34.95038,104.12724532114,72,0,NA,NA,"no_red_alert",0.763761467889908,TRUE,2022,590,"גן שמואל","GAN SHEMU'EL",1,"יהודי",964,464,501,249,54,78,377,204,0.647847112775246,1488.00539662887,0.211618257261411,NA
74,2009,"עיןהוד","עין הוד",32.6995071,34.9821209,130.855452694518,74,1,232,1,"temporal_distance > 200",0.684057971014493,FALSE,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
