SEMEL_YISHUV,locality,loc,distance,treated,temporal_distance,number_of_red_alerts,temporal_group,year,party_percentage,party_source,post,year_election,X,SHEM_YISHUV,SHEM_YISHUV_ENGLISH,Religion_yishuv_Code,Religion_yishuv_Txt,Pop_Total,Male_Total,Female_Total,age_0_14,age_15_19,age_20_29,age_30_64,age_65_up,Shape_Area,density,age_65_up_percentage,ntl
82,עין חרוד (מאוחד),עיןחרודמאוחד,136.0019124449435,1,6,1,temporal_distance == 6,2013,0.0654008438818565,Party_habait_hayehudi,FALSE,2013,779,עין חרוד (מאוחד),EN HAROD(ME'UHAD),1,יהודי,720,360,360,140,50,110,280,150,0.694092443984341,1037.32580038898,0.208333333333333,56
82,עין חרוד (מאוחד),עיןחרודמאוחד,136.0019124449435,1,6,1,temporal_distance == 6,2015,0.041407867494824,Party_habait_hayehudi,TRUE,2015,785,עין חרוד (מאוחד),EN HAROD(ME'UHAD),1,יהודי,740,360,380,160,30,110,280,160,0.694092443984341,1066.14040595534,0.216216216216216,49
84,תל יוסף,תליוסף,136.37592571146217,1,6,1,temporal_distance == 6,2006,0.00865800865800866,Party_habait_hayehudi,FALSE,2006,794,תל יוסף,TEL YOSEF,1,NA,371,NA,NA,NA,NA,NA,NA,NA,0.373182083028548,994.152765827236,NA,43.25
84,תל יוסף,תליוסף,136.37592571146217,1,6,1,temporal_distance == 6,2009,0.0160642570281124,Party_habait_hayehudi,FALSE,2009,789,תל יוסף,TEL YOSEF,1,NA,501,NA,NA,NA,NA,NA,NA,NA,0.373182083028548,1342.50818242438,NA,47
84,תל יוסף,תליוסף,136.37592571146217,1,6,1,temporal_distance == 6,2013,0.0547445255474453,Party_habait_hayehudi,FALSE,2013,795,תל יוסף,TEL YOSEF,1,יהודי,520,250,270,150,20,60,210,70,0.373182083028548,1393.42166638858,0.134615384615385,49.75
84,תל יוסף,תליוסף,136.37592571146217,1,6,1,temporal_distance == 6,2015,0.0484429065743945,Party_habait_hayehudi,TRUE,2015,799,תל יוסף,TEL YOSEF,1,יהודי,540,270,270,160,20,60,220,80,0.373182083028548,1447.01480740352,0.148148148148148,47.75
85,כפר יחזקאל,כפריחזקאל,134.41721157998455,1,6,1,temporal_distance == 6,2006,0.0167597765363128,Party_habait_hayehudi,FALSE,2006,813,כפר יחזקאל,KEFAR YEHEZQEL,1,NA,723,NA,NA,NA,NA,NA,NA,NA,2.30290086553538,313.951855601009,NA,40.6666666666667
85,כפר יחזקאל,כפריחזקאל,134.41721157998455,1,6,1,temporal_distance == 6,2009,0.00458715596330275,Party_habait_hayehudi,FALSE,2009,816,כפר יחזקאל,KEFAR YEHEZQEL,1,NA,858,NA,NA,NA,NA,NA,NA,NA,2.30290086553538,372.573571377131,NA,38.75
85,כפר יחזקאל,כפריחזקאל,134.41721157998455,1,6,1,temporal_distance == 6,2013,0.0388349514563107,Party_habait_hayehudi,FALSE,2013,809,כפר יחזקאל,KEFAR YEHEZQEL,1,יהודי,1090,570,520,380,90,100,430,90,2.30290086553538,473.316075525725,0.0825688073394495,52.6666666666667
85,כפר יחזקאל,כפריחזקאל,134.41721157998455,1,6,1,temporal_distance == 6,2015,0.0363636363636364,Party_habait_hayehudi,TRUE,2015,814,כפר יחזקאל,KEFAR YEHEZQEL,1,יהודי,1150,590,560,390,110,110,440,110,2.30290086553538,499.370171426224,0.0956521739130435,44
86,גבע,גבע,135.69908473710117,1,6,2,temporal_distance == 6,2006,0.00276243093922652,Party_habait_hayehudi,FALSE,2006,825,גבע,GEVA,1,NA,571,NA,NA,NA,NA,NA,NA,NA,0.482027089383002,1184.58072705184,NA,50
86,גבע,גבע,135.69908473710117,1,6,2,temporal_distance == 6,2009,0.00539083557951483,Party_habait_hayehudi,FALSE,2009,830,גבע,GEVA,1,NA,604,NA,NA,NA,NA,NA,NA,NA,0.482027089383002,1253.04160970107,NA,44.5
86,גבע,גבע,135.69908473710117,1,6,2,temporal_distance == 6,2013,0.00530503978779841,Party_habait_hayehudi,FALSE,2013,823,גבע,GEVA,1,יהודי,630,300,330,140,50,100,230,110,0.482027089383002,1306.98048693986,0.174603174603175,58
86,גבע,גבע,135.69908473710117,1,6,2,temporal_distance == 6,2015,0.0103359173126615,Party_habait_hayehudi,TRUE,2015,829,גבע,GEVA,1,יהודי,630,290,340,130,60,90,230,110,0.482027089383002,1306.98048693986,0.174603174603175,48
89,עין חרוד (איחוד),עיןחרודאיחוד,136.57374429358003,0,NA,NA,no_red_alert,2006,0.00264550264550265,Party_habait_hayehudi,FALSE,2006,854,עין חרוד (איחוד),EN HAROD (IHUD),1,NA,600,NA,NA,NA,NA,NA,NA,NA,0.502245759862894,1194.63427658163,NA,50
89,עין חרוד (איחוד),עיןחרודאיחוד,136.57374429358003,0,NA,NA,no_red_alert,2009,0.00520833333333333,Party_habait_hayehudi,FALSE,2009,849,עין חרוד (איחוד),EN HAROD (IHUD),1,NA,515,NA,NA,NA,NA,NA,NA,NA,0.502245759862894,1025.39442073257,NA,48
