SEMEL_YISHUV,locality,loc,distance,treated,temporal_distance,number_of_red_alerts,temporal_group,year,party_percentage,party_source,post,year_election,X,SHEM_YISHUV,SHEM_YISHUV_ENGLISH,Religion_yishuv_Code,Religion_yishuv_Txt,Pop_Total,Male_Total,Female_Total,age_0_14,age_15_19,age_20_29,age_30_64,age_65_up,Shape_Area,density,age_65_up_percentage,ntl
72,גן שמואל,גןשמואל,104.12724532114004,0,NA,NA,no_red_alert,2019,0.771526980482204,Party_turnout,TRUE,2019,671,גן שמואל,GAN SHEMU'EL,1,יהודי,933,449,484,232,45,88,367,200,0.647847112775246,1440.15460067919,0.214362272240086,NA
72,גן שמואל,גןשמואל,104.12724532114004,0,NA,NA,no_red_alert,2019,0.781714285714286,Party_turnout,TRUE,2019.2,671,גן שמואל,GAN SHEMU'EL,1,יהודי,933,449,484,232,45,88,367,200,0.647847112775246,1440.15460067919,0.214362272240086,NA
72,גן שמואל,גןשמואל,104.12724532114004,0,NA,NA,no_red_alert,2020,0.773823191733639,Party_turnout,TRUE,2020,678,גן שמואל,GAN SHEMU'EL,1,יהודי,943,456,488,237,48,81,381,196,0.647847112775246,1455.59034130812,0.207847295864263,NA
72,גן שמואל,גןשמואל,104.12724532114004,0,NA,NA,no_red_alert,2021,0.778669724770642,Party_turnout,TRUE,2021,679,גן שמואל,GAN SHEMU'EL,1,יהודי,948,455,492,243,52,80,374,198,0.647847112775246,1463.30821162259,0.208860759493671,NA
72,גן שמואל,גןשמואל,104.12724532114004,0,NA,NA,no_red_alert,2022,0.763761467889908,Party_turnout,TRUE,2022,668,גן שמואל,GAN SHEMU'EL,1,יהודי,964,464,501,249,54,78,377,204,0.647847112775246,1488.00539662887,0.211618257261411,NA
74,עין הוד,עיןהוד,130.85545269451796,1,232,1,temporal_distance > 149,2006,0.610400827662139,Party_turnout,FALSE,2006,694,עין הוד,EN HOD,1,NA,519,NA,NA,NA,NA,NA,NA,NA,0.301117855205259,1723.57763257254,NA,31
74,עין הוד,עיןהוד,130.85545269451796,1,232,1,temporal_distance > 149,2009,0.684057971014493,Party_turnout,FALSE,2009,692,עין הוד,EN HOD,1,NA,503,NA,NA,NA,NA,NA,NA,NA,0.301117855205259,1670.44229129863,NA,39.75
74,עין הוד,עיןהוד,130.85545269451796,1,232,1,temporal_distance > 149,2013,0.70935960591133,Party_turnout,FALSE,2013,697,עין הוד,EN HOD,1,יהודי,590,300,280,140,40,60,260,90,0.301117855205259,1959.36570947553,0.152542372881356,41
74,עין הוד,עיןהוד,130.85545269451796,1,232,1,temporal_distance > 149,2015,0.745575221238938,Party_turnout,TRUE,2015,695,עין הוד,EN HOD,1,יהודי,590,300,290,140,40,60,270,90,0.301117855205259,1959.36570947553,0.152542372881356,43
74,עין הוד,עיןהוד,130.85545269451796,1,232,1,temporal_distance > 149,2019,0.743951612903226,Party_turnout,TRUE,2019,685,עין הוד,EN HOD,1,יהודי,643,324,319,155,39,60,296,93,0.301117855205259,2135.37652744536,0.144634525660964,NA
74,עין הוד,עיןהוד,130.85545269451796,1,232,1,temporal_distance > 149,2019,0.721774193548387,Party_turnout,TRUE,2019.2,685,עין הוד,EN HOD,1,יהודי,643,324,319,155,39,60,296,93,0.301117855205259,2135.37652744536,0.144634525660964,NA
74,עין הוד,עיןהוד,130.85545269451796,1,232,1,temporal_distance > 149,2020,0.707661290322581,Party_turnout,TRUE,2020,696,עין הוד,EN HOD,1,יהודי,651,327,321,158,37,65,297,94,0.301117855205259,2161.94419808232,0.144393241167435,NA
74,עין הוד,עיןהוד,130.85545269451796,1,232,1,temporal_distance > 149,2021,0.698630136986301,Party_turnout,TRUE,2021,686,עין הוד,EN HOD,1,יהודי,665,338,328,153,47,64,302,99,0.301117855205259,2208.43762169699,0.148872180451128,NA
74,עין הוד,עיןהוד,130.85545269451796,1,232,1,temporal_distance > 149,2022,0.644787644787645,Party_turnout,TRUE,2022,690,עין הוד,EN HOD,1,יהודי,664,336,328,153,50,56,299,106,0.301117855205259,2205.11666286737,0.159638554216867,NA
80,נהלל,נהלל,136.37751654818305,1,6,1,temporal_distance == 6,2006,0.661515842238734,Party_turnout,FALSE,2006,772,נהלל,NAHALAL,1,NA,913,NA,NA,NA,NA,NA,NA,NA,7.05674444147492,129.379773856339,NA,57.2222222222222
80,נהלל,נהלל,136.37751654818305,1,6,1,temporal_distance == 6,2009,0.733113673805601,Party_turnout,FALSE,2009,760,נהלל,NAHALAL,1,NA,849,NA,NA,NA,NA,NA,NA,NA,7.05674444147492,120.310435929936,NA,57
80,נהלל,נהלל,136.37751654818305,1,6,1,temporal_distance == 6,2013,0.759873617693523,Party_turnout,FALSE,2013,765,נהלל,NAHALAL,1,יהודי,920,490,420,200,200,100,320,110,7.05674444147492,130.371732692039,0.119565217391304,61.8888888888889
