"X","SEMEL_YISHUV","SHEM_YISHUV","SHEM_YISHUV_ENGLISH","Religion_yishuv_Code","Religion_yishuv_Txt","Pop_Total","Male_Total","Female_Total","age_0_14","age_15_19","age_20_29","age_30_64","age_65_up","year","Shape_Area","density","age_65_up_percentage","sci_index_value","sci_index_cluster","ntl","within_west_bank","intersecting_west_bank","centroid_within_west_bank"
176,26,"ראש פינה","ROSH PINNA",1,NA,2462,NA,NA,NA,NA,NA,NA,NA,2006,17.1212725916229,143.797722209306,NA,0.825,7,50.7083333333333,0,0,0
177,26,"ראש פינה","ROSH PINNA",1,"יהודי",3308,1632,1676,736,245,455,1306,566,2022,17.1212725916229,193.209937070831,0.171100362756953,0.825,7,NA,0,0,0
178,26,"ראש פינה","ROSH PINNA",1,"יהודי",2910,1430,1480,710,230,400,1240,330,2014,17.1212725916229,169.964001474038,0.11340206185567,0.825,7,NA,0,0,0
179,26,"ראש פינה","ROSH PINNA",1,"יהודי",2600,1.3,1.3,0.6,0.2,0.4,1.2,0.2,2008,17.1212725916229,151.857870732817,7.69230769230769e-05,0.825,7,NA,0,0,0
180,26,"ראש פינה","ROSH PINNA",1,"יהודי",2910,1440,1470,700,230,400,1200,380,2015,17.1212725916229,169.964001474038,0.130584192439863,0.825,7,56,0,0,0
181,26,"ראש פינה","ROSH PINNA",1,"יהודי",2700,1.3,1.4,0.6,0.2,0.4,1.2,0.2,2011,17.1212725916229,157.698558068695,7.40740740740741e-05,0.825,7,NA,0,0,0
182,26,"ראש פינה","ROSH PINNA",1,"יהודי",3000,1490,1510,710,240,410,1220,410,2016,17.1212725916229,175.220620076328,0.136666666666667,0.825,7,NA,0,0,0
183,26,"ראש פינה","ROSH PINNA",1,"יהודי",3120,1546,1574,745,218,450,1238,471,2018,17.1212725916229,182.229444879381,0.150961538461538,0.825,7,NA,0,0,0
184,26,"ראש פינה","ROSH PINNA",1,"יהודי",3217,1593,1623,760,226,438,1281,512,2020,17.1212725916229,187.894911595182,0.159154491762512,0.825,7,NA,0,0,0
185,26,"ראש פינה","ROSH PINNA",1,"יהודי",2780,1370,1410,670,210,410,1230,270,2012,17.1212725916229,162.371107937397,0.0971223021582734,0.825,7,NA,0,0,0
186,27,"שדות מיכה","SEDOT MIKHA",1,"יהודי",382,203,179,103,36,46,143,55,2022,0.923522562570883,413.633640889722,0.143979057591623,0.107,5,NA,0,0,0
187,27,"שדות מיכה","SEDOT MIKHA",1,"יהודי",400,210,190,130,20,60,160,40,2016,0.923522562570883,433.124231298138,0.1,0.107,5,NA,0,0,0
188,27,"שדות מיכה","SEDOT MIKHA",1,"יהודי",390,205,185,106,35,47,151,53,2021,0.923522562570883,422.296125515684,0.135897435897436,0.107,5,NA,0,0,0
189,27,"שדות מיכה","SEDOT MIKHA",1,"יהודי",384,201,180,105,33,45,154,47,2020,0.923522562570883,415.799262046212,0.122395833333333,0.107,5,NA,0,0,0
190,27,"שדות מיכה","SEDOT MIKHA",1,"יהודי",400,0,0,0,0,0,0,0,2011,0.923522562570883,433.124231298138,0,0.107,5,NA,0,0,0
191,27,"שדות מיכה","SEDOT MIKHA",1,NA,354,NA,NA,NA,NA,NA,NA,NA,2009,0.923522562570883,383.314944698852,NA,0.107,5,33,0,0,0
192,27,"שדות מיכה","SEDOT MIKHA",1,"יהודי",370,200,170,100,30,70,140,40,2012,0.923522562570883,400.639913950777,0.108108108108108,0.107,5,NA,0,0,0
193,27,"שדות מיכה","SEDOT MIKHA",1,"יהודי",398,208,189,124,23,55,153,44,2017,0.923522562570883,430.958610141647,0.110552763819095,0.107,5,NA,0,0,0
194,27,"שדות מיכה","SEDOT MIKHA",1,"יהודי",380,200,180,120,20,60,140,40,2013,0.923522562570883,411.468019733231,0.105263157894737,0.107,5,38,0,0,0
195,27,"שדות מיכה","SEDOT MIKHA",1,"יהודי",300,0,0,0,0,0,0,0,2008,0.923522562570883,324.843173473603,0,0.107,5,NA,0,0,0
196,27,"שדות מיכה","SEDOT MIKHA",1,"יהודי",380,200,180,120,20,50,150,40,2014,0.923522562570883,411.468019733231,0.105263157894737,0.107,5,NA,0,0,0
197,27,"שדות מיכה","SEDOT MIKHA",1,"יהודי",380,200,170,110,20,50,150,40,2015,0.923522562570883,411.468019733231,0.105263157894737,0.107,5,39,0,0,0
198,27,"שדות מיכה","SEDOT MIKHA",1,"יהודי",391,200,191,113,34,45,156,42,2018,0.923522562570883,423.37893609393,0.107416879795396,0.107,5,NA,0,0,0
199,27,"שדות מיכה","SEDOT MIKHA",1,"יהודי",378,196,182,106,36,43,147,49,2019,0.923522562570883,409.30239857674,0.12962962962963,0.107,5,NA,0,0,0
200,27,"שדות מיכה","SEDOT MIKHA",1,NA,333,NA,NA,NA,NA,NA,NA,NA,2006,0.923522562570883,360.5759225557,NA,0.107,5,31,0,0,0
201,28,"מזכרת בתיה","MAZKERET BATYA",1,NA,9295,NA,NA,NA,NA,NA,NA,NA,2009,7.19775606583577,1291.37468885877,NA,1.251,8,57.6666666666667,0,0,0
202,28,"מזכרת בתיה","MAZKERET BATYA",1,"יהודי",11860,5900,5960,3500,990,1460,5110,800,2014,7.19775606583577,1647.73575146477,0.0674536256323777,1.251,8,NA,0,0,0
